,url_pk,channel_id,title,description,thumbnails,view_count,like_count,published,play_time
20,eQMxa4NEpUg,UCNhofiqfw5nl-NeDJkXtPvw,망자의 날 체험 【아메리카20】,"망자의 날 X
망한자의 날 O
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------

Jahzzar - Cheifs
https://www.youtube.com/watch?v=noq4vHpYYYQ

Jahzzar - Welcome
https://www.youtube.com/watch?v=FMRIG5KcoSQ",https://i.ytimg.com/vi/eQMxa4NEpUg/hqdefault.jpg,1098263,20487,2021-11-14T07:26:26Z,PT10M23S
21,wpd0Iv8S5iw,UCNhofiqfw5nl-NeDJkXtPvw,환각 버섯을 먹는 멕시코 마을 여행 【아메리카21】,"자세한 위치 등은 넣지 않았습니다.
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Kelvin Macleod - Cool vibes
https://www.youtube.com/watch?v=PY5A_yw2PZo

Jahzzar - Self Portrait
https://www.youtube.com/watch?v=9fiuUeUppog

Jahzzar - Vacuum
https://www.youtube.com/watch?v=cLUd6YtjLRY",https://i.ytimg.com/vi/wpd0Iv8S5iw/hqdefault.jpg,979509,19674,2021-11-22T08:45:01Z,PT18M48S
22,cVV4R62kX90,UCNhofiqfw5nl-NeDJkXtPvw,멕시코 육로 국경 넘은 날 【아메리카22】,"9분으로 압축돼서 슬픈 영상
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Save our soul
https://www.youtube.com/watch?v=w5-9g8adCfQ

Jahzzar - The Last ones
https://www.youtube.com/watch?v=RypgEOITzWc

Jahzzar - The Crowd
https://www.youtube.com/watch?v=fnIn0AO7NQs",https://i.ytimg.com/vi/cVV4R62kX90/hqdefault.jpg,1218380,20493,2021-11-27T07:13:36Z,PT9M30S
23,LUCGiG98JrY,UCNhofiqfw5nl-NeDJkXtPvw,활화산 피자 먹어보기 【아메리카23】,"250달러의 조금 비싼 투어지만
맛있었다면 OK입니다.
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Endeavour
https://www.youtube.com/watch?v=_GBIla9sHrE

Jahzzar - Siesta
https://www.youtube.com/watch?v=FRoqFGlT_P4",https://i.ytimg.com/vi/LUCGiG98JrY/hqdefault.jpg,2287565,31365,2021-12-02T03:00:16Z,PT12M34S
24,uNXWdJvzNzI,UCNhofiqfw5nl-NeDJkXtPvw,혼자 즐기는 멕시코 칸쿤 【아메리카24】,"남미 ㄱㄱㄱ
--------------------------------------
카메라

Gopro9
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - Driver
https://www.youtube.com/watch?v=bF-tzZ2d85o

Jahzzar - Polaroid
https://www.youtube.com/watch?v=KE6SpX3sYBQ

Kevin MacLeod - Jazz Brunch
https://www.youtube.com/watch?v=8DtQ21BWvyQ",https://i.ytimg.com/vi/uNXWdJvzNzI/hqdefault.jpg,1500861,25666,2021-12-05T13:27:01Z,PT8M4S
25,nttfQnlymb8,UCNhofiqfw5nl-NeDJkXtPvw,콜롬비아 도시 나들이 【아메리카25】,"콩 너무 싫어
콩 너무 싫어
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Chiefs
https://www.youtube.com/watch?v=noq4vHpYYYQ

조보비 - Latin_1
https://www.youtube.com/channel/UCJ-Q5uiqn8ycKEPzBxTOB0A",https://i.ytimg.com/vi/nttfQnlymb8/hqdefault.jpg,1468397,23459,2021-12-20T03:00:15Z,PT10M45S
26,NLjkveFCmN4,UCNhofiqfw5nl-NeDJkXtPvw,콜롬비아 메데인 슬럼가 산책 【아메리카26】,"콜롬비아 요리에게 미안합니다.
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Kevin Macleod - Covert Affair
https://www.youtube.com/watch?v=snCEmLp02cs

조보비 - Latin_2
https://www.youtube.com/channel/UCJ-Q5uiqn8ycKEPzBxTOB0A",https://i.ytimg.com/vi/NLjkveFCmN4/hqdefault.jpg,1645015,28564,2021-12-23T03:00:07Z,PT15M2S
27,hWenvjHvScs,UCNhofiqfw5nl-NeDJkXtPvw,콜롬비아 진흙 화산 체험 【아메리카27】,"05:32 진흙 목욕 시작

피부에 양보하세요
→ 이거 알면 동년배
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Kevin Macleod - Chill Wave
https://www.youtube.com/watch?v=TRiBpYgjFD4",https://i.ytimg.com/vi/hWenvjHvScs/hqdefault.jpg,1282828,23052,2022-01-03T03:00:29Z,PT9M6S
28,sw1llzxmlPY,UCNhofiqfw5nl-NeDJkXtPvw,세계에서 인구밀도 제일 높은 섬 가보기 【아메리카28】,"로또가 4자리네
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Brighter
https://www.youtube.com/watch?v=O3mhPoeL6M4

Jahzzar - Charity
https://www.youtube.com/watch?v=Lo-Fcww0tC0

Jahzzar - Encedalus
https://www.youtube.com/watch?v=W2KAsLSDsVQ",https://i.ytimg.com/vi/sw1llzxmlPY/hqdefault.jpg,3773849,45776,2022-01-05T03:14:21Z,PT19M51S
29,Fk4-XeFgndE,UCNhofiqfw5nl-NeDJkXtPvw,페루 아마존 정글 여행 【아메리카29】,"더워도 너무 덥다 진짜 🥵
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Kevin Macleod - Ave Marimba
https://www.youtube.com/watch?v=sYWLpw6tQgs",https://i.ytimg.com/vi/Fk4-XeFgndE/hqdefault.jpg,1637338,25988,2022-01-12T03:00:05Z,PT14M38S
30,Tft-5mjyrjU,UCNhofiqfw5nl-NeDJkXtPvw,4박5일 아마존 강 지옥의 화물선 여행 【아메리카30】,"덥다는 말 많이 해서 죄송합니다만
진짜 덥습니다.
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Jardins du Luxembourg
https://www.youtube.com/watch?v=lfDgZziTNfM

Jahzzar - Leith Walk
https://www.youtube.com/watch?v=hsAMl_6U8Mg

Jahzzar - Sappy
https://www.youtube.com/watch?v=yhDMYUBCWB4

Jahzzar - Bloom
https://www.youtube.com/watch?v=pHrRXWk3T2E

Kevin MacLeod - As I Figure
https://www.youtube.com/watch?v=7JhY0w3dDJs",https://i.ytimg.com/vi/Tft-5mjyrjU/hqdefault.jpg,3283276,43117,2022-01-14T03:00:21Z,PT20M
31,elz-Kf_PfJE,UCNhofiqfw5nl-NeDJkXtPvw,페루에서 가방을 도둑맞은 건에 관하여 【아메리카31】,"와카치나와 피스코에서 찍어놨던 영상 대부분이 날아갔습니다.
많은 양해 부탁드립니다.
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Chiado
https://www.youtube.com/watch?v=3U1XyGkECQQ

Jahzzar - I need
https://www.youtube.com/watch?v=Mzvr-FLUosk

Jahzzar - SeeUSoon
https://www.youtube.com/watch?v=PZxL8sFzDnI",https://i.ytimg.com/vi/elz-Kf_PfJE/hqdefault.jpg,1505739,32291,2022-01-30T03:00:16Z,PT8M38S
32,qAnYCQrnedE,UCNhofiqfw5nl-NeDJkXtPvw,"5,100m 세계에서 최고 높은 도시 가보기 【아메리카32】","콧물이 멈추질 않아
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - First Rays
https://www.youtube.com/watch?v=6v3K2QIFsEg

Jahzzar - Part VI
https://www.youtube.com/watch?v=hSBVPaWEM8w

Jahzzar - No Control
https://www.youtube.com/watch?v=wAiatba_B6o",https://i.ytimg.com/vi/qAnYCQrnedE/hqdefault.jpg,1494504,30843,2022-02-03T06:30:02Z,PT15M43S
33,6t-RwSwdI50,UCNhofiqfw5nl-NeDJkXtPvw,남미 배낭여행 일상 【아메리카33】,"우유니 또가니
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Whisper
https://www.youtube.com/watch?v=U08CLL_XoFs

Jahzzar - Dirt
https://www.youtube.com/watch?v=S9g5hV4a9wQ

Jahzzar - Hymn of the Exile
https://www.youtube.com/watch?v=iOSOR6N6K7s",https://i.ytimg.com/vi/6t-RwSwdI50/hqdefault.jpg,1337481,25203,2022-02-09T08:00:01Z,PT11M42S
34,F3gshg2m-hY,UCNhofiqfw5nl-NeDJkXtPvw,우유니 소금 사막 로드 트립 【아메리카34】,"우유니 건기 우기 두번 다 가보기 성공 네이스~
--------------------------------------
카메라

Gopro9
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - Dummy
https://www.youtube.com/watch?v=W9HyIF9S9Us

Jahzzar - Sweet 16
https://www.youtube.com/watch?v=9_-f8kccBhw

Jahzzar - Going to
https://www.youtube.com/watch?v=oLXIWR3tXj0

Jahzzar - IMO
https://www.youtube.com/watch?v=BWRwDaZcwX4

Jahzzar - Isn't Another Post War Movie
https://www.youtube.com/watch?v=ZxgU3eceuZA",https://i.ytimg.com/vi/F3gshg2m-hY/hqdefault.jpg,1732506,29134,2022-02-15T03:19:28Z,PT15M49S
35,fTul7E4ywM4,UCNhofiqfw5nl-NeDJkXtPvw,볼리비아 광산 탐방기 【아메리카35】,"많이 늦어서 죄송합니다.
개인적인 사정으로 영상 편집이 늦었습니다.
조만간 마무리 영상 올리겠습니다.
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - The Lake
https://www.youtube.com/watch?v=p86ATW3to6c

Jahzzar - Downtown Serenade
https://www.youtube.com/watch?v=nHkCP_kH-xw",https://i.ytimg.com/vi/fTul7E4ywM4/hqdefault.jpg,1003456,20908,2022-02-25T03:00:30Z,PT11M44S
36,t9R-ZTJN9OE,UCNhofiqfw5nl-NeDJkXtPvw,지옥같았던 남미 버스 이동 【아메리카36】,"토할 뻔
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Baroque
https://www.youtube.com/watch?v=15IrPHgDy7Q

Jahzzar - Parfum
https://www.youtube.com/watch?v=-8GWaQvLEpA

Jahzzar - Beloved
https://www.youtube.com/watch?v=TovHXNsNcLc",https://i.ytimg.com/vi/t9R-ZTJN9OE/hqdefault.jpg,1670651,29179,2022-02-26T02:52:42Z,PT12M10S
37,k9AGD9FGjiU,UCNhofiqfw5nl-NeDJkXtPvw,잠깐 멈추기로 했습니다 【아메리카 마지막화】,"잠시 재충전 하기로 했습니다.
다음에 다시 만나요 ^^2
--------------------------------------
카메라

Gopro9
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - Everything we talked about
https://www.youtube.com/watch?v=E2MR8qSnV7c",https://i.ytimg.com/vi/k9AGD9FGjiU/hqdefault.jpg,1670011,39116,2022-03-03T03:00:30Z,PT9M50S
